sigla progetto,nome del' attore,tipo di relazione
"Progetto Città Cinematografica - Studi cinematografici ed edifici di servizio (progetto esposto e segnalato alla V Triennale di Milano nella sezione ""Progetti di Edifici Tipici"")",S. Urievic (in qualità di promotore),COM
Progetto Circeo Proposta di Piano Regolatore,Due gruppi finanziari milanesi,COM
"Progetto San Babila Uffici, teatro, cinema, ristorante e appartamenti","Hegeman Harris Company Inc., Carlo De Angeli Frua",COM
"Progetto San Babila Uffici, teatro, cinema, ristorante e appartamenti",Ingg. Primo Matassoni ed Ernesto Saliva,COL
"Progetto Santa Margherita Ligure Case a schiera, villa e grattacielo",Resy Barbarani Bonomi,COM
"Progetto Santa Margherita Ligure Case a schiera, villa e grattacielo",Ing. Ernesto Saliva,COP
"Quartiere Feltre Progettazione urbanistica ed edilizia di unità di abitazione e nucleo residenziale, scuola materna",Istituto Autonomo Case Popolari della Provincia di Milano  Presidente Ing. Camillo Ripamonti,COM
"Quartiere Feltre Progettazione urbanistica ed edilizia di unità di abitazione e nucleo residenziale, scuola materna",Arch. tti Belisario Duca e Maria Pia Matteotti Ingg. Ernesto Saliva e Vittorio di Tocco (capogruppo Arch. Luciano Baldessari),COP
"Quartiere Feltre Progettazione urbanistica ed edilizia di unità di abitazione e nucleo residenziale, scuola materna",Impresa Cementfer - Ing. Gaetano Blasi: Direttore dei Lavori  (fabbricato n° 12) Impresa Geom. Giuseppe Binda - Ing. Giovanni Genovesi: Direttore dei  Lavori  (fabbricato n° 13),COS
"Progetto Rovereto Banca, negozi, appartamenti e asilo",Cassa di Risparmio di Trento e Rovereto,COM
"Progetto Rovereto Banca, negozi, appartamenti e asilo",Geom. Giulio Baldessari: collaborazione tecnica  (fonte Z.M.B.),COL
"Progetto Rovereto Banca, negozi, appartamenti e asilo",Arch. Maria Pia Matteotti - Ing. Ernesto Saliva  (fonte Z.M.B.),COP
Quartiere Forlanini Progettazione fabbricati nn° 52/56,Istituto Autonomo Case Popolari della Provincia di Milano Vice Presidente Dott. Antigio de Osma,COM
Quartiere Forlanini Progettazione fabbricati nn° 52/56,Arch. Maria Pia Matteotti  (fonte Elenco coll. L.B.),COL
Quartiere Forlanini Progettazione fabbricati nn° 52/56,Impresa Errebi - Costruzioni Edili S.r.l. Ing. Mario Roscio: Direttore dei Lavori,COS
"Progetto Quartiere Tibaldi (concorso a invito - motto ""Castoro"")",Istituto Autonomo Case Popolari della Provincia di Milano Vice Presidente Dott. Antigio de Osma,COM
Progetto Quartiere Campo dei Fiori Progettazione fabbricati nn° 22-24,Istituto Autonomo Case Popolari della Provincia di Milano,COM
Progetto Quartiere Campo dei Fiori Progettazione fabbricati nn° 22-24,Ing. Pietro Wertenstein: progetto opere in c.a.,COL
Progetto Quartiere Campo dei Fiori Progettazione fabbricati nn° 22-24,Arch.tti Carlo Bartoli e Annig C. Sarian,COP
Quartiere Canegrate Sud Centro Residenziale per l'insediamento della popolazione operaia,Istituto Autonomo Case Popolari della Provincia di Milano Presidente Dott. Virgilio Bontadini,COM
Quartiere Canegrate Sud Centro Residenziale per l'insediamento della popolazione operaia,Ing. Ernesto Saliva Arch. L. Ramella: collaborazione tecnica  (fonte Bibliografia),COL
Progetto Villaggio Navach,Arch. Pasquale Bruno,COP
"Progetto Cornaredo Bar, ristorante, motel e appartamenti",Carla Gavazzi Giola,COM
"Progetto Cornaredo Bar, ristorante, motel e appartamenti",Ing. Ernesto Saliva Ingg. Franco Rolla e Armando Pazzi: progetto opere in c.a. 1967/68 - Arch.tti Maria Pia Matteotti e Zita Mosca,COL
"Progetto Lottizzazione Riazzino Garage ""Stella"", negozi, ristorante, motel, case d'abitazione e servizi",Antonio Leoni S.A. - Amministratore Dott. Silvio Leoni,COM
"Progetto Lottizzazione Riazzino Garage ""Stella"", negozi, ristorante, motel, case d'abitazione e servizi",Arch. Zita Mosca  (fonte bibliografia),COP
"Palazzo per uffici D.A.F.  e arredamento studio Carlo De Angeli Frua (progetto esposto alla V Triennale di Milano nella sezione ""Opere Costruite"")",De Angeli Frua S.A. (Società per l'industria dei tessuti stampati),COM
"Palazzo per uffici D.A.F.  e arredamento studio Carlo De Angeli Frua (progetto esposto alla V Triennale di Milano nella sezione ""Opere Costruite"")",1931/32 - Arch.tti Gino Pollini e Luigi Figini (fonte bibliografia),COL
Progetto Magazzini Dogana (ristrutturazione),Società Anonima Magazzini Dogana - Amministratore Comm. Romeo Farioli,COM
Progetto Magazzini Dogana (ristrutturazione),Invita il pittore Enrico Ciuti,COL
Progetto Magazzini Dogana (ristrutturazione),Arch. Werner Daniel: progetto di massima,COP
Progetto Magazzini Dogana (ristrutturazione),Impresa Geom. Italo Tobia,COS
"Progetto ""Aeroporto Forlanini""",Ing. G. Solesin (Direttore Aeroporto),COM
"Progetto ""Aeroporto Forlanini""",Ing. G. Solesin: collaborazione tecnica (fonte bibliografia),COL
Progetto Centro di Assistenza Materna e Infantile,"Opera Nazionale Maternità e Infanzia - Presidente Generale Avv. Sileno Fabbri, Presidente Federazione di Lodi Dott. Maggi",COM
Progetto Centro di Assistenza Materna e Infantile,Arch. Werner Daniel,COP
"Centro di Assistenza Materna e Infantile (progetto esposto alla Fierta del Levante di Bari e alla V Triennale di Milano nella sezione ""Architettura""; realizzato con modifiche dalla committenza))",Società Commerciale Bossi - Presidente Quinto Bossi,COM
"Centro di Assistenza Materna e Infantile (progetto esposto alla Fierta del Levante di Bari e alla V Triennale di Milano nella sezione ""Architettura""; realizzato con modifiche dalla committenza))",Ing. Quinto Gregotti fu Edoardo: progettazione e collaudo impianti tecnici  Invita per l'esposizione alla Fiera del Levante di Bari il pittore Marcello Nizzoli,COL
"Centro di Assistenza Materna e Infantile (progetto esposto alla Fierta del Levante di Bari e alla V Triennale di Milano nella sezione ""Architettura""; realizzato con modifiche dalla committenza))",1932/33 - Arch. Werner Daniel,COP
"Complesso industriale Italcima Stabilimento, uffici e villa con direzione lavori e progetto di arredamento, casa del custode con direzione lavori (progetto esposto alla V Triennale di Milano)",Comm. Achille Levi,COM
"Complesso industriale Italcima Stabilimento, uffici e villa con direzione lavori e progetto di arredamento, casa del custode con direzione lavori (progetto esposto alla V Triennale di Milano)",Ing. Eugenio Soncini (studio Ponti): casa del custode Dott. Luigi Minguzzi: giardino Invita il pittore Aldo Salvadori: msaici parietali,COL
